,playerid,year,playername,team,age,g,gs,attempts,yards,tds,longgain,yardsperatt,yardspergame,fumbles
0,AAbduAm00,2020,Ameer Abdullah,MIN,27,6,0,2,7,0,4,3.5,1.2,0
1,AAbduAm00,2019,Ameer Abdullah,MIN,26,16,0,23,115,0,15,5.0,7.2,1
2,AAbduAm00,2017,Ameer Abdullah,DET,24,14,11,165,552,4,34,3.3,39.4,2
3,AAbduAm00,2016,Ameer Abdullah,DET,23,2,2,18,101,0,24,5.6,50.5,0
4,AAbduAm00,2015,Ameer Abdullah,DET,22,16,9,143,597,2,36,4.2,37.3,5
5,AAbduKa00,1999,Karim Abdul-Jabbar,2TM,25,13,9,143,445,1,21,3.1,34.2,0
6,AAbduKa00,1998,Karim Abdul-Jabbar,MIA,24,15,15,270,960,6,45,3.6,64.0,2
7,AAbduKa00,1997,Karim Abdul-Jabbar,MIA,23,16,14,283,892,15,22,3.2,55.8,3
8,AAbduKa00,1996,Karim Abdul-Jabbar,MIA,22,16,14,307,1116,11,29,3.6,69.8,4
9,AAdamJo03,2020,Josh Adams,NYJ,24,2,0,3,8,1,6,2.7,4.0,0
10,AAdamJo03,2019,Josh Adams,NYJ,23,3,0,8,12,0,10,1.5,4.0,0
11,AAdamJo03,2018,Josh Adams,PHI,22,14,5,120,511,3,29,4.3,36.5,1
12,AAddaJo00,2011,Joseph Addai,IND,28,12,11,118,433,1,16,3.7,36.1,1
13,AAddaJo00,2010,Joseph Addai,IND,27,8,7,116,495,4,46,4.3,61.9,2
14,AAddaJo00,2009,Joseph Addai,IND,26,15,15,219,828,10,21,3.8,55.2,1
15,AAddaJo00,2008,Joseph Addai,IND,25,12,12,155,544,5,23,3.5,45.3,1
16,AAddaJo00,2007,Joseph Addai,IND,24,15,15,261,1072,12,23,4.1,71.5,0
17,AAddaJo00,2006,Joseph Addai,IND,23,16,0,226,1081,7,41,4.8,67.6,2
18,AAjayJa00,2019,Jay Ajayi,PHI,26,3,0,10,30,0,11,3.0,10.0,0
19,AAjayJa00,2018,Jay Ajayi,PHI,25,4,3,45,184,3,20,4.1,46.0,1
20,AAjayJa00,2017,Jay Ajayi,2TM,24,14,8,208,873,1,71,4.2,62.4,3
21,AAjayJa00,2016,Jay Ajayi,MIA,23,15,12,260,1272,8,62,4.9,84.8,4
22,AAjayJa00,2015,Jay Ajayi,MIA,22,9,0,49,187,1,24,3.8,20.8,0
23,AAkerCa00,2020,Cam Akers ,LAR,21,5,2,26,113,0,46,4.3,22.6,0
24,AAlexSh00,2008,Shaun Alexander ,WAS,31,4,0,11,24,0,8,2.2,6.0,0
